Class,Lambda,Lambda_t,H,H_t,Zeta
2,0.992,0.923076923,1.418729725,1.738149333,2.066666667
2,0.968,0.846153846,1.512938028,1.833927218,2.3
2,0.92,0.769230769,1.618126171,1.833927218,2.4
2,0.8,0.692307692,1.846470539,1.884313528,2.783333333
2,0.776,0.615384615,1.871451007,1.884313528,2.816666667
4,0.728,0.538461538,1.904621481,1.833927218,2.74
2,0.648,0.461538462,1.843069746,1.669180337,2.266666667
2,0.504,0.384615385,1.772982124,1.546593564,2.514285714
1,0.496,0.307692308,1.756887541,1.352030102,0.9
1,0.416,0.230769231,1.635945689,1.145110414,0.266666667
1,0.264,0.153846154,1.095146613,0.773228349,0.24
1,0.12,0.076923077,0.529360865,0.391243564,0.218181818
1,0,0,0,0,0.2
2,0.992,0.923076923,1.789588364,2.199687795,2.633333333
2,0.848,0.846153846,1.954996637,2.199687795,3.633333333
2,0.824,0.769230769,1.924364026,2.199687795,4.333333333
2,0.776,0.692307692,1.912220089,2.16197818,3.666666667
3,0.632,0.615384615,1.987958232,2.133937566,3.65
3,0.48,0.538461538,1.88194646,2.045841641,4.04
3,0.432,0.461538462,1.677733235,1.88109476,1.966666667
2,0.408,0.384615385,1.626435535,1.700439718,1.314285714
1,0.288,0.307692308,1.354726715,1.505876256,0.275
1,0.168,0.230769231,0.859509944,1.145110414,0.244444444
1,0.088,0.153846154,0.468434344,0.773228349,0.22
1,0.008,0.076923077,0.067221545,0.391243564,0.2
1,0,0,0,0,0.2
3,0.992,0.923076923,1.891614544,2.10390991,2.066666667
3,0.872,0.846153846,2.117719455,2.199687795,3.233333333
4,0.792,0.769230769,2.147168028,2.199687795,3.033333333
4,0.784,0.692307692,2.143019571,2.16197818,3.733333333
2,0.76,0.615384615,2.124063857,2.038159682,2.133333333
2,0.616,0.538461538,2.124063857,1.987773371,2.28
2,0.592,0.461538462,2.093514901,1.823026491,1.2
2,0.544,0.384615385,2.045407537,1.700439718,1.342857143
1,0.496,0.307692308,1.972499902,1.505876256,0.3
1,0.344,0.230769231,1.46017985,1.145110414,0.266666667
1,0.264,0.153846154,1.095146613,0.773228349,0.24
1,0.144,0.076923077,0.594619344,0.391243564,0.218181818
1,0,0,0,0,0.2
3,0.992,0.923076923,1.991720487,2.199687795,3.3
3,0.872,0.846153846,2.196361172,2.257756064,4.8
2,0.72,0.769230769,1.963670423,2.199687795,3.4
2,0.6,0.692307692,1.834328963,2.16197818,4.133333333
1,0.592,0.615384615,1.7775219,1.884313528,4.2
1,0.448,0.538461538,1.669977353,1.833927218,4.38
1,0.4,0.461538462,1.593738013,1.727248606,4.2
1,0.376,0.384615385,1.528029725,1.546593564,2.542857143
1,0.296,0.307692308,1.168435098,1.198183948,2.5
